,CountyId,State,County,TotalPop
156,5091,Arkansas,Miller County,43760
157,5093,Arkansas,Mississippi County,43534
158,5095,Arkansas,Monroe County,7420
159,5097,Arkansas,Montgomery County,9059
160,5099,Arkansas,Nevada County,8528
161,5101,Arkansas,Newton County,7898
162,5103,Arkansas,Ouachita County,24378
163,5105,Arkansas,Perry County,10320
164,5107,Arkansas,Phillips County,19518
165,5109,Arkansas,Pike County,10893
166,5111,Arkansas,Poinsett County,24098
167,5113,Arkansas,Polk County,20212
168,5115,Arkansas,Pope County,63372
169,5117,Arkansas,Prairie County,8309
170,5119,Arkansas,Pulaski County,392848
171,5121,Arkansas,Randolph County,17514
172,5123,Arkansas,St. Francis County,26688
173,5125,Arkansas,Saline County,116252
174,5127,Arkansas,Scott County,10584
175,5129,Arkansas,Searcy County,7925
176,5131,Arkansas,Sebastian County,127362
177,5133,Arkansas,Sevier County,17206
178,5135,Arkansas,Sharp County,17041
179,5137,Arkansas,Stone County,12443
180,5139,Arkansas,Union County,40022
181,5141,Arkansas,Van Buren County,16751
182,5143,Arkansas,Washington County,223683
183,5145,Arkansas,White County,78706
184,5147,Arkansas,Woodruff County,6763
185,5149,Arkansas,Yell County,21601
186,6001,California,Alameda County,1629615
187,6003,California,Alpine County,1203
188,6005,California,Amador County,37306
189,6007,California,Butte County,225207
190,6009,California,Calaveras County,45057
191,6011,California,Colusa County,21479
192,6013,California,Contra Costa County,1123678
193,6015,California,Del Norte County,27442
194,6017,California,El Dorado County,185015
195,6019,California,Fresno County,971616
196,6021,California,Glenn County,27935
197,6023,California,Humboldt County,135490
198,6025,California,Imperial County,179957
199,6027,California,Inyo County,18195
200,6029,California,Kern County,878744
201,6031,California,Kings County,150183
202,6033,California,Lake County,64095
203,6035,California,Lassen County,31470
204,6037,California,Los Angeles County,10105722
205,6039,California,Madera County,154440
206,6041,California,Marin County,260814
207,6043,California,Mariposa County,17658
208,6045,California,Mendocino County,87497
209,6047,California,Merced County,267390
210,6049,California,Modoc County,9017
211,6051,California,Mono County,14058
212,6053,California,Monterey County,433168
213,6055,California,Napa County,141005
214,6057,California,Nevada County,98838
215,6059,California,Orange County,3155816
216,6061,California,Placer County,374985
217,6063,California,Plumas County,18724
218,6065,California,Riverside County,2355002
219,6067,California,Sacramento County,1495400
220,6069,California,San Benito County,58671
221,6071,California,San Bernardino County,2121220
222,6073,California,San Diego County,3283665
223,6075,California,San Francisco County,864263
224,6077,California,San Joaquin County,724153
225,6079,California,San Luis Obispo County,280119
226,6081,California,San Mateo County,763450
227,6083,California,Santa Barbara County,442996
228,6085,California,Santa Clara County,1911226
229,6087,California,Santa Cruz County,273263
230,6089,California,Shasta County,178919
231,6091,California,Sierra County,2885
232,6093,California,Siskiyou County,43530
233,6095,California,Solano County,434981
234,6097,California,Sonoma County,500943
235,6099,California,Stanislaus County,535684
236,6101,California,Sutter County,95583
237,6103,California,Tehama County,63247
238,6105,California,Trinity County,13037
239,6107,California,Tulare County,458809
240,6109,California,Tuolumne County,53899
241,6111,California,Ventura County,847834
242,6113,California,Yolo County,212605
243,6115,California,Yuba County,74644
244,8001,Colorado,Adams County,487850
245,8003,Colorado,Alamosa County,16345
246,8005,Colorado,Arapahoe County,626612
247,8007,Colorado,Archuleta County,12592
248,8009,Colorado,Baca County,3581
249,8011,Colorado,Bent County,5806
250,8013,Colorado,Boulder County,316782
251,8014,Colorado,Broomfield County,64283
252,8015,Colorado,Chaffee County,18818
253,8017,Colorado,Cheyenne County,2127
254,8019,Colorado,Clear Creek County,9257
255,8021,Colorado,Conejos County,8147
256,8023,Colorado,Costilla County,3628
257,8025,Colorado,Crowley County,5514
258,8027,Colorado,Custer County,4505
259,8029,Colorado,Delta County,30217
260,8031,Colorado,Denver County,678467
261,8033,Colorado,Dolores County,1736
262,8035,Colorado,Douglas County,320940
263,8037,Colorado,Eagle County,53726
264,8039,Colorado,Elbert County,24553
265,8041,Colorado,El Paso County,674826
266,8043,Colorado,Fremont County,46601
267,8045,Colorado,Garfield County,57945
268,8047,Colorado,Gilpin County,5793
269,8049,Colorado,Grand County,14793
270,8051,Colorado,Gunnison County,16215
271,8053,Colorado,Hinsdale County,820
272,8055,Colorado,Huerfano County,6498
273,8057,Colorado,Jackson County,1372
274,8059,Colorado,Jefferson County,564029
275,8061,Colorado,Kiowa County,1368
276,8063,Colorado,Kit Carson County,7846
277,8065,Colorado,Lake County,7481
278,8067,Colorado,La Plata County,54469
279,8069,Colorado,Larimer County,330976
280,8071,Colorado,Las Animas County,14151
281,8073,Colorado,Lincoln County,5520
282,8075,Colorado,Logan County,21885
283,8077,Colorado,Mesa County,148798
284,8079,Colorado,Mineral County,834
285,8081,Colorado,Moffat County,13056
286,8083,Colorado,Montezuma County,25770
287,8085,Colorado,Montrose County,40908
288,8087,Colorado,Morgan County,28123
289,8089,Colorado,Otero County,18325
