State,County,TotalPop,Men,Women,VotingAgeCitizen,Income,Poverty,Pub_Transp,WorkAtHome,MeanCommute,Unemployment,Prv_Transp,Office_Jobs,NonOffice_Jobs,Mode_Severity,Mode_Weather_Condition,Day_Accidents,Total_Acc
Minnesota,Olmsted,151685,74208,77477,107204,72337,13803,8190,6219,17.5,6522,137274,122953,22064,1,Overcast,2.0,7
Minnesota,Goodhue,46138,23014,23124,34895,62431,4982,599,2399,24.1,1937,43092,32620,11580,1,Overcast,1.0,10
Pennsylvania,Venango,52880,26094,26786,42057,46487,7191,211,1956,22.1,4018,50659,34887,13925,3,Clear,13.0,14
South Carolina,Barnwell,21788,10369,11419,16286,34035,5882,65,370,27.6,2200,21352,13202,6385,3,Overcast,0.0,2
Ohio,Columbiana,104584,52586,51998,82384,45498,16105,418,2823,25.3,7843,101446,63849,32988,3,Scattered Clouds,9.0,9
Rhode Island,Kent,164012,79338,84674,129491,69047,12792,1804,4756,25.3,10004,157287,125824,28183,1,Mostly Cloudy,39.0,49
Virginia,Page,23694,11638,12056,18726,46140,4027,47,1018,33.8,1848,22627,15554,6291,3,Scattered Clouds,5.0,5
Oklahoma,Tulsa,637123,310812,326311,440555,52017,98754,4459,25484,19.7,37590,606541,473631,126501,1,Clear,33.0,43
Oregon,Crook,21717,10627,11090,16984,41777,3322,0,1411,23.4,1802,20305,15095,4819,3,Partly Cloudy,1.0,1
Indiana,Madison,129641,64805,64836,99639,45432,22557,259,4796,25.9,8815,124585,89411,31414,1,Clear,24.0,36
Maryland,Calvert,90824,45184,45640,68233,100350,5176,2724,4813,41.9,6630,83285,66513,17764,3,Clear,2.0,5
Virginia,Lancaster,10848,5013,5835,9093,51495,1193,43,650,26.7,477,10153,8369,1991,1,Clear,3.0,3
Wisconsin,Eau Claire,102388,50371,52017,79895,52178,14846,921,6143,18.4,4095,95528,76865,21526,1,Clear,7.0,8
Tennessee,Rhea,32478,16027,16451,24528,39368,7112,0,1136,22.7,2565,31341,19323,10589,3,Heavy Thunderstorms and Rain,2.0,2
South Carolina,Chester,32424,15850,16574,24830,37421,7068,129,972,28.8,3177,31321,18484,10733,1,Clear,4.0,4
Maine,Androscoggin,107317,52550,54767,82714,49538,15346,214,4399,24.2,5580,102702,77320,24315,1,Clear,14.0,19
Wisconsin,Marinette,40712,20459,20253,32622,44958,5373,81,1180,19.8,2320,39449,24455,13936,3,Overcast,1.0,7
Michigan,Menominee,23389,11834,11555,18849,44480,3157,23,1005,20.8,1379,22383,14284,7747,3,Light Snow,0.0,3
Colorado,Lincoln,5520,3522,1998,4226,44725,772,0,496,17.3,204,5023,4412,903,3,Clear,1.0,1
Indiana,Perry,19229,10336,8893,15055,49689,2788,38,423,23.5,749,18748,11180,7299,3,Clear,3.0,5
Ohio,Warren,223868,112736,111132,160611,79397,11417,895,12536,25.4,10074,210435,177021,36772,1,Overcast,8.0,12
Delaware,Sussex,215551,104514,111037,165573,57901,25866,1508,12070,25.3,13148,201755,153826,48576,3,Overcast,10.0,13
West Virginia,Harrison,68438,33365,35073,53494,48315,10265,479,2053,22.3,4448,65837,49208,14781,1,Clear,20.0,27
Georgia,McDuffie,21488,10028,11460,15663,40469,5586,0,494,26.5,1740,20993,13408,6319,1,Clear,5.0,8
Pennsylvania,Elk,30781,15435,15346,24631,49876,2893,215,1138,18.8,1477,29426,17260,12073,1,Clear,7.0,11
Virginia,Essex,11083,4899,6184,8666,50629,1363,22,410,35.0,620,10650,7596,2877,1,Clear,6.0,7
Florida,Citrus,141373,68487,72886,117655,40574,24598,424,8199,25.3,13995,132749,97953,29424,1,Clear,6.0,7
Montana,Mineral,4194,2121,2073,3424,40117,842,12,260,22.3,310,3921,2940,947,1,Light Snow,9.0,9
New Jersey,Monmouth,627551,305192,322359,457219,91807,47693,49576,32632,33.6,37653,545341,500823,89074,1,Clear,70.0,101
Texas,Kerr,50761,24563,26198,38666,48698,7005,0,2284,20.0,3045,48425,37027,10736,2,Mostly Cloudy,1.0,1
Indiana,White,24279,12185,12094,17856,51404,2379,24,874,24.9,1068,23380,14251,8936,3,Overcast,0.0,2
New York,Cayuga,78319,40132,38187,61737,54664,9085,783,2662,23.0,4620,74794,55126,18572,3,Overcast,7.0,16
Pennsylvania,Centre,160646,84313,76333,127511,56466,29558,8192,7871,20.4,7389,144742,129655,23601,1,Overcast,49.0,74
New York,Wyoming,40886,22032,18854,32303,55459,4661,163,1267,24.7,2657,39454,26378,11850,3,Partly Cloudy,3.0,3
Alabama,Dallas,40755,18809,21946,30303,30065,13000,81,489,22.1,5583,40184,23143,11993,3,Clear,3.0,3
Virginia,Patrick,17958,8867,9091,14550,37757,3627,0,359,28.0,1185,17598,9879,6876,3,Clear,6.0,8
Virginia,Orange,35265,17341,17924,26796,67196,3138,493,1692,39.3,2292,33113,24795,8177,3,Clear,5.0,7
New Hampshire,Sullivan,43073,21263,21810,34368,59419,4048,129,2067,24.1,1593,40833,30404,11075,1,Clear,4.0,8
Colorado,Pueblo,163368,80330,83038,122128,42386,32346,1797,4737,21.8,15193,156833,116021,32153,3,Clear,21.0,24
Minnesota,Steele,36612,18225,18387,26833,58882,3624,366,1501,18.2,1647,34744,24825,10104,1,Mostly Cloudy,6.0,8
Minnesota,Dakota,414655,204016,210639,296543,79995,28611,13683,20732,24.3,16586,379823,328008,69662,1,Clear,127.0,185
Texas,Parker,125963,62545,63418,91539,70608,11588,251,6424,31.7,6927,119412,91181,27854,1,Clear,10.0,11
