State,County,TotalPop,Men,Women,VotingAgeCitizen,Income,Poverty,Pub_Transp,WorkAtHome,MeanCommute,Unemployment,Prv_Transp,Office_Jobs,NonOffice_Jobs,Mode_Severity,Mode_Weather_Condition,Day_Accidents,Total_Acc
New Mexico,Eddy,56793,28792,28001,39729,60703,8291,283,1022,17.7,2896,55486,36110,17786,3,Clear,6.0,6
Illinois,Cass,12880,6529,6351,8802,50156,1687,51,540,20.5,888,12287,7351,4640,3,Clear,3.0,3
Oklahoma,Ottawa,31725,15570,16155,23392,38472,6916,126,602,20.0,2284,30995,20991,8479,1,Clear,2.0,3
Washington,Spokane,490764,243266,247498,369260,52159,74596,12269,25519,21.5,30918,453465,370635,89669,1,Clear,65.0,74
Idaho,Clark,1055,566,489,489,31927,255,0,120,18.3,52,934,499,503,1,Cloudy,3.0,5
Wisconsin,Walworth,102917,51330,51587,76828,58401,12761,617,4734,24.0,5763,97668,70728,26425,3,Overcast,16.0,21
Iowa,Benton,25646,12786,12860,19383,64061,2231,25,1231,23.8,923,24389,17058,7688,2,Scattered Clouds,6.0,7
Oklahoma,Logan,45326,22593,22733,33857,59133,5983,226,2855,28.5,2175,42198,32708,10442,3,Overcast,3.0,5
Colorado,Moffat,13056,6772,6284,9338,53010,1318,143,470,22.0,470,12455,8659,3926,3,Light Snow,1.0,3
California,Sonoma,500943,245381,255562,354994,71769,53600,9517,34565,25.2,29555,456860,375224,96163,1,Clear,202.0,241
Montana,Treasure,790,377,413,634,42454,134,0,90,17.6,0,699,558,232,3,Fair,2.0,2
Georgia,Jones,28540,13864,14676,21631,55110,4052,114,1084,26.9,2482,27341,19204,6827,1,Clear,6.0,6
Iowa,Howard,9321,4677,4644,6996,51422,1081,18,755,17.8,270,8547,5846,3213,3,Clear,2.0,2
Michigan,Lenawee,98585,49929,48656,76189,51339,13506,295,3056,26.8,5816,95233,65216,27459,3,Overcast,6.0,6
Pennsylvania,Wyoming,27760,13958,13802,22052,55965,2887,166,1665,25.6,1804,25955,17364,8591,3,Light Rain,2.0,3
Louisiana,St. John the Baptist,43565,21285,22280,31950,53628,7798,130,697,28.5,3180,42737,28431,11953,1,Mostly Cloudy,10.0,12
Iowa,Louisa,11238,5743,5495,7884,54393,1236,11,595,24.3,460,10631,6165,4602,3,Overcast,0.0,2
South Dakota,Jackson,3275,1659,1616,2264,38041,1467,55,668,12.6,393,2551,2302,579,1,Light Snow,0.0,1
West Virginia,Fayette,44602,22404,22198,35083,39297,8920,89,847,28.2,3746,43665,30356,10499,1,Fog,2.0,2
Indiana,Wabash,31848,15568,16280,24832,49052,4235,222,891,19.6,1751,30733,20616,9480,3,Mostly Cloudy,4.0,4
Pennsylvania,Berks,415500,204283,211217,307824,59580,56508,6648,16204,24.9,30331,392647,276551,108232,3,Overcast,20.0,53
California,Tuolumne,53899,28029,25870,43977,54325,7330,323,3503,27.0,4258,50072,39514,10126,1,Clear,14.0,16
Georgia,Tattnall,25402,14892,10510,19266,36355,6020,76,1397,24.9,1016,23979,17094,7315,3,Mostly Cloudy,2.0,2
New Mexico,Sierra,11254,5513,5741,9158,29690,2385,11,405,16.7,1282,10848,7758,2203,1,Clear,1.0,2
New Hampshire,Merrimack,147958,72864,75094,115569,69856,11392,591,9765,26.3,5918,137600,113347,28550,1,Clear,115.0,163
Pennsylvania,Somerset,75619,39289,36330,61414,46132,9603,75,3629,24.2,4612,71913,48781,22225,3,Clear,14.0,22
New York,Madison,71760,35413,36347,56718,58365,7965,430,3372,23.3,3157,68028,53098,15504,1,Light Snow,5.0,9
Colorado,Hinsdale,820,384,436,672,53056,98,0,29,12.3,33,790,632,153,3,Light Snow,1.0,1
Wisconsin,Sheboygan,115094,57875,57219,86298,56114,9437,345,4488,18.2,5064,110144,74050,35979,1,Overcast,10.0,10
Virginia,Clarke,14331,7195,7136,11059,72129,1490,14,1060,35.6,472,13256,10865,3007,3,Clear,5.0,8
Pennsylvania,Columbia,66615,32085,34530,54036,48395,10591,199,2264,22.3,3397,64083,45643,17574,3,Light Rain,2.0,8
West Virginia,Lewis,16371,8198,8173,12782,39793,3241,0,409,28.2,1227,15978,10419,4724,3,Scattered Clouds,4.0,7
Washington,Thurston,269885,132099,137786,202828,66113,31306,4857,12954,25.6,20781,252342,204265,45087,1,Clear,59.0,73
Georgia,Lamar,18282,8800,9482,14220,41157,3802,0,712,29.6,2084,17550,11792,4405,1,Overcast,1.0,1
Florida,St. Lucie,298763,146025,152738,217389,47132,49594,1493,13743,27.6,22705,283526,216153,59904,1,Clear,42.0,56
Arkansas,Miller,43760,21581,22179,32903,41862,9189,87,875,18.4,3500,42753,29188,11031,3,Clear,1.0,2
New Mexico,Colfax,12522,6317,6205,9964,33042,2942,12,576,15.6,1252,11933,9173,2084,3,Clear,3.0,5
California,Contra Costa,1123678,548675,575003,743847,88456,110120,115738,70791,37.1,77533,937147,879807,165290,1,Clear,776.0,963
Texas,Howard,36491,20588,15903,25331,50855,5072,145,401,18.8,2444,35907,24003,10043,1,Clear,2.0,3
Indiana,Spencer,20610,10431,10179,15846,55280,1999,41,1092,26.8,1174,19476,12400,7055,3,Clear,3.0,5
Illinois,Kendall,122933,60801,62132,82182,89860,6884,3810,5900,33.0,6146,113221,91911,24875,3,Mostly Cloudy,8.0,10
Missouri,Lawrence,38131,19072,19059,27636,41673,6520,38,1944,22.2,2364,36148,24500,11230,3,Clear,2.0,3
Pennsylvania,Erie,277794,137134,140660,211830,48192,46669,4722,10000,19.3,18056,262793,201296,58441,3,Clear,31.0,46
Nebraska,Cass,25513,12813,12700,19134,68284,1607,25,918,26.1,714,24569,18723,6075,3,Clear,2.0,2
Maryland,Baltimore,828637,392930,435707,607614,71810,75405,39774,33145,29.5,45575,755716,660904,122157,3,Mostly Cloudy,36.0,58
